layer,rescue_mean,rescue_sem,corruption_mean,corruption_sem
0,0.05,0.01785357107135712,0.03,0.018560711193270588
1,0.01625,0.016961353129983467,0.00375,0.013739768920909848
2,-0.0025,0.017316899260548923,0.00125,0.015359239890046646
3,0.0040625,0.018236778172829756,0.015,0.014422205101855951
4,0.045,0.018794946129212505,0.03625,0.016591601791267768
5,0.0471875,0.0206273199452813,0.0275,0.01733493582335972
6,0.0128125,0.021658256580920816,0.01375,0.020788368141823926
7,0.03,0.021936698703314494,0.02125,0.017285289988889396
8,0.011875,0.022024311850770733,0.0225,0.017656443583009586
9,0.03125,0.019385078024088526,-0.00125,0.01681610091549168
10,0.060625,0.020924156195650998,0.0075,0.01547578754054216
11,0.0584375,0.026171049427277465,0.00625,0.01970485346304305
12,0.0621875,0.027791389460136755,0.009375,0.024562579516410728
13,0.0725,0.033546143593563775,0.028125,0.02622394540300905
14,0.116875,0.032820653748821024,0.02,0.023146273998205402
15,0.0884375,0.03327093443420247,0.024375,0.024610877930297426
16,0.0915625,0.03491062808264841,0.043125,0.029907278587327175
17,0.1225,0.03436749918163962,0.063125,0.028675038142956324
18,0.125,0.036228441865473596,0.079375,0.0376373526234245
19,0.1125,0.046275330901031926,0.1275,0.0467025159921818
20,0.188125,0.07375259529331833,0.20875,0.07249159434030956
21,0.139375,0.16585293278232976,0.188125,0.10247137557630419
22,0.4390625,0.310175180467627,0.209375,0.18832371149831342
23,0.5153125,0.39500308790327826,0.21625,0.20083583158888757
24,2.806875,0.7415080126421428,1.0475,0.45832084831480213
25,2.93,0.773384687590852,1.06625,0.4543974719339888
26,5.43041015625,0.9836072615336422,3.4178125,0.8682854884501552
27,6.4771875,1.2506160364808716,2.6065625,0.9740197085162726
28,6.42388671875,1.2855894212071513,3.02921875,1.056059404262862
29,6.51578125,1.294308440013672,3.01609375,1.073123780803399
30,6.5625,1.32580494049252,3.133125,1.1071942906579788
31,6.71046875,1.347971062143027,3.2871875,1.1068280470260923
32,6.713515625,1.353470554624787,3.402421875,1.116410363937924
33,6.670546875,1.3517523862275498,3.4482421875,1.1143307090939099
34,6.69828125,1.363218849574762,3.50818359375,1.1278818560238328
35,6.14744140625,1.2728024305799954,3.571875,1.0950577895709435
