layer,rescue_mean,rescue_sem,corruption_mean,corruption_sem
0,0.01918859649122807,0.0136016717361873,-0.005482456140350877,0.010318757516332475
1,0.02631578947368421,0.012130718732292005,-0.0043859649122807015,0.007731569368740161
2,0.017543859649122806,0.01104732036619184,-0.005482456140350877,0.0100830344950282
3,0.001644736842105263,0.012960439408632573,-0.006578947368421052,0.010819675241950995
4,-0.0027412280701754384,0.013457854263250668,-0.005482456140350877,0.00907914623828536
5,-0.001644736842105263,0.016546140783563472,-0.006578947368421052,0.009392035989265114
6,0.014802631578947368,0.0163943821791988,-0.010964912280701754,0.012222096124620312
7,-0.001644736842105263,0.01845269728424644,-0.009868421052631578,0.008463530714597723
8,0.020833333333333332,0.01952760270397565,-0.029605263157894735,0.016708832795532383
9,-0.004934210526315789,0.023654615627854328,-0.010964912280701754,0.01030034393615109
10,0.021929824561403508,0.026361036944510693,-0.015350877192982455,0.01981470398039697
11,0.01699561403508772,0.02572750453319448,-0.02631578947368421,0.023919969003752827
12,0.01699561403508772,0.030436966872821082,-0.01864035087719298,0.01297060717211621
13,0.029605263157894735,0.03910202911162893,-0.03618421052631579,0.034077683219749105
14,0.027960526315789474,0.039676351458924404,-0.01644736842105263,0.0451436588682475
15,0.03125,0.05377839569321877,-0.04276315789473684,0.04817473598288953
16,0.21710526315789475,0.11524488225087154,0.07017543859649122,0.15285787896632913
17,0.34100877192982454,0.15131038777097733,0.06798245614035088,0.21139987292677195
18,0.7214912280701754,0.27587192042802133,0.20449561403508773,0.24969451530427897
19,2.8086622807017543,0.7032731903169466,0.5881304824561403,0.2511769610881781
20,3.6296943530701755,0.8462834298434416,0.7526534231085527,0.30848349765808
21,4.032277960526316,0.903440501285571,0.8108895285087719,0.31419410852875457
22,4.444764254385965,0.9426109846129573,0.856530975877193,0.33621549935866596
23,4.719075520833333,0.9415481445954528,0.9317434210526315,0.37005983874336473
24,4.966214364035087,0.9410266279691172,0.9521056058114035,0.38295867956219376
25,5.201514528508772,0.9951724961584942,0.9481993558114035,0.39069616030026905
26,5.55761290433114,1.0187178866475943,0.9520970394736842,0.3925101614642148
27,5.747361567982456,1.0042464979763424,1.2408511513157894,0.43230452184299906
