layer,head,mean_rescue_effect
32,0,-0.017361111111111112
32,1,-0.043402777777777776
32,2,-0.04861111111111111
32,3,0.043402777777777776
32,4,0.001736111111111111
32,5,-0.04861111111111111
32,6,-0.013888888888888888
32,7,-0.001736111111111111
32,8,-0.010416666666666666
32,9,-0.024305555555555556
32,10,0.036458333333333336
32,11,-0.08333333333333333
32,12,-0.006944444444444444
32,13,0.057291666666666664
32,14,-0.03125
32,15,-0.017361111111111112
33,0,0.08506944444444445
33,1,-0.008680555555555556
33,2,-0.013888888888888888
33,3,-0.010416666666666666
33,4,0.012152777777777778
33,5,0.06770833333333333
33,6,-0.024305555555555556
33,7,-0.03993055555555555
33,8,-0.015625
33,9,0.03125
33,10,-0.019097222222222224
33,11,-0.034722222222222224
33,12,0.008680555555555556
33,13,-0.024305555555555556
33,14,0.005208333333333333
33,15,0.010416666666666666
34,0,-0.012152777777777778
34,1,0.015625
34,2,-0.015625
34,3,-0.043402777777777776
34,4,-0.041666666666666664
34,5,0.0
34,6,-0.036458333333333336
34,7,-0.03819444444444445
34,8,0.0763888888888889
34,9,-0.006944444444444444
34,10,0.005208333333333333
34,11,0.0
34,12,0.03125
34,13,0.050347222222222224
34,14,0.03819444444444445
34,15,0.012152777777777778
35,0,0.034722222222222224
35,1,0.006944444444444444
35,2,-0.019097222222222224
35,3,0.04513888888888889
35,4,0.006944444444444444
35,5,0.23958333333333334
35,6,-0.008680555555555556
35,7,-0.06076388888888889
35,8,0.017361111111111112
35,9,0.06770833333333333
35,10,0.026041666666666668
35,11,0.001736111111111111
35,12,-0.020833333333333332
35,13,0.0
35,14,-0.008680555555555556
35,15,-0.015625
