alpha,n,correct_rate,abstain_rate,mean_logit_diff,mean_logprob
-5.0,100,0.01,0.0,-4.480892658233643,-0.527908688960027
-3.0,100,0.01,0.0,-4.492529544830322,-0.5223504592594049
-2.0,100,0.01,0.0,-4.4737795639038085,-0.5189008835073813
-1.0,100,0.01,0.0,-4.490773620605469,-0.5203488518543192
0.0,100,0.0,0.0,-4.500267658233643,-0.5155265620678733
1.0,100,0.01,0.0,-4.501964111328125,-0.5169967622083004
2.0,100,0.0,0.0,-4.505803413391114,-0.5210962035091069
3.0,100,0.0,0.0,-4.504285526275635,-0.5187625754744221
5.0,100,0.0,0.0,-4.494225997924804,-0.5166572277113167
8.0,100,0.0,0.0,-4.512797412872314,-0.5162760848721125
