layer,rescue_mean,rescue_sem,corruption_mean,corruption_sem
0,0.00125,0.015561370440934823,-0.00125,0.009098420192538918
1,0.01625,0.01627978040392437,0.0,0.01224744871391589
2,0.02875,0.017871940297572615,-0.005,0.008631338250816032
3,0.03125,0.026235114827269194,0.00625,0.009057110466368392
4,0.03375,0.023992837472879277,0.00375,0.01006385860393517
5,0.01625,0.022065952279473465,0.00875,0.008293446207699184
6,0.00875,0.022845267562451532,-0.00375,0.011512221766453263
7,0.025,0.019764235376052368,0.0075,0.004198213905936667
8,0.00875,0.024559239605492684,-0.00125,0.009761211502677315
9,0.02625,0.023257391298251832,0.01875,0.011215224028078985
10,0.03625,0.02812305548833555,0.0,0.007905694150420948
11,0.02625,0.021584861593255584,-0.00125,0.014629806902348374
12,0.0225,0.02248332715591711,-0.01375,0.014501077546168766
13,0.03125,0.023601509485624006,0.00875,0.010608074754638555
14,0.015,0.02997707457374718,0.005,0.009974968671629999
15,0.05,0.03441474974484051,-0.015,0.008396427811873334
16,0.05375,0.02767049421315058,0.00625,0.013721561500062603
17,0.03375,0.02824059577983439,0.0125,0.023518609652783493
18,0.03625,0.03584210164038934,0.0275,0.030267556888523357
19,0.06,0.040503086302157265,0.0175,0.022641223465175178
20,0.05625,0.059061673274637246,0.00125,0.04017500777846845
21,0.18375,0.13635214061392653,-0.07875,0.08772845177022097
22,0.49375,0.25183234750524014,-0.02125,0.10105088445926637
23,0.76,0.3316924403721014,0.08625,0.08032920546102765
24,2.2175,0.6841834549300354,0.51375,0.32396609583411634
25,2.2925,0.6928889701820921,0.4675,0.32982590104477855
26,4.40125,0.8682941069994659,0.66625,0.5423001071823605
27,6.311875,1.0998632470036331,0.9896875,0.43487552322834283
28,6.34953125,1.1265422330441195,0.7931640625,0.5031037403614423
29,6.2971875,1.122842939853177,0.796484375,0.5003030362208069
30,6.33828125,1.150060083561194,0.687890625,0.5119084363364048
31,6.821484375,1.2450603485801182,0.52515625,0.5441073399277769
32,6.98125,1.260089650673465,0.50828125,0.543060105174401
33,6.953984375,1.2614449165404806,0.52078125,0.5442118911963714
34,7.02447265625,1.2684203530230802,0.5515625,0.5448978993381468
35,6.778125,1.1726382514441527,0.5953515625,0.5410249821223763
