layer,rescue_mean,rescue_sem,corruption_mean,corruption_sem
0,0.005,0.021348302040209197,0.04375,0.016129359875704925
1,0.0075,0.017996527442815186,0.02625,0.01469374867077833
2,-0.00875,0.021723403278492065,0.00875,0.016394549399114326
3,-0.025,0.020000000000000004,0.0275,0.017244564360980538
4,-0.00625,0.02292992040980518,-0.00125,0.01718374959081981
5,-0.03125,0.022308210371968434,0.0075,0.017378147196982763
6,-0.0275,0.02431306233282842,0.0025,0.014891272611835428
7,0.0025,0.028337254630609505,0.01875,0.014710752869924779
8,0.01375,0.025328467186152434,0.0,0.01541103500742244
9,-0.005,0.02579001744861759,0.00125,0.019242693418542012
10,-0.0225,0.025171908946283742,0.01125,0.017650247873613554
11,0.02875,0.03246199701189068,0.04,0.021121671335384434
12,-0.01875,0.028790732015702546,0.01125,0.021190357476928035
13,-0.00125,0.03129946085797645,0.01,0.026946706663338288
14,0.02625,0.03269604333860597,0.01375,0.02495558554712753
15,-0.0275,0.039296946446257114,0.03875,0.025241954163653824
16,-0.01875,0.04225110945288894,0.04,0.03366934807803678
17,0.00875,0.04319324310583775,0.04875,0.03299100256130448
18,-0.066875,0.06320854619827922,0.025,0.043553128475460876
19,0.0225,0.06441467224165627,0.08625,0.05267500593260523
20,-0.049375,0.07770180379180396,0.13,0.06156399109869338
21,0.20375,0.2089767481084917,0.20125,0.14471189049279948
22,0.6275,0.3174407425016518,-0.09625,0.24442668890691943
23,0.80125,0.37926198893377117,0.04125,0.2681977465416144
24,5.80875,0.9676282376253805,2.01375,0.6116429973849122
25,6.20625,0.9779286943586428,2.0,0.5937986822147722
26,9.9834375,1.144972059736885,4.5525,0.8010800521795561
27,10.76125,1.1583283719168327,5.375,0.9001731604252595
28,11.525,1.2420807737170314,6.0871875,1.0979967634643215
29,11.509375,1.2664293740177541,6.275,1.1396586660048702
30,11.6615625,1.2788340491989665,6.2865625,1.1346485216039919
31,11.745625,1.2860103670120624,6.37875,1.1359971665897766
32,11.6071875,1.2544879596933662,6.3896875,1.135344146097616
33,11.36015625,1.2211684388146586,6.23875,1.1298163429292394
34,11.6575,1.257333397885183,6.38875,1.1773656073783958
35,11.870625,1.1725536401642782,6.2928515625,1.1437789421847235
